Episode,TotalReward,State,Action,Player's Hand,Dealer's Card,Usable Ace,Player's Hand (%),Dealer's Card (%),Usable Ace (%)
0,-1.0,"[18, 6, 0]",0,0.5438490957021713,0.11928550899028778,-0.27807164192199707,57.782138363234516,12.673684372512497,29.544177264252987
1,-1.0,"[14, 1, 0]",1,-0.8162731851140658,0.22801189621289572,-0.01993473122517268,76.70155878385115,21.42526323261115,1.8731779835376925
1,-1.0,"[19, 1, 0]",0,0.20647094771265984,-0.018822986632585526,-0.27807164192199707,41.01809051857811,3.739426675174981,55.242482806246905
2,-1.0,"[19, 10, 0]",0,0.6518058143556118,-0.3040330447256565,-0.27807164192199707,52.82439964856794,24.639797171549635,22.53580317988243
3,-1.0,"[15, 5, 0]",0,0.06513659656047821,0.07417844235897064,-0.27807164192199707,15.605815793921288,17.77211534623671,66.622068859842
4,1.0,"[19, 10, 0]",0,0.6518058143556118,-0.3040330447256565,-0.27807164192199707,52.82439964856794,24.639797171549635,22.53580317988243
5,1.0,"[7, 7, 0]",1,-0.098289060095946,0.2056180958946546,-0.01993473122517268,30.350940991909663,63.49336018958316,6.155698818507171
5,1.0,"[15, 7, 0]",0,0.10388016700744629,-0.10210496187210083,-0.27807164192199707,21.460327232988043,21.093592328649045,57.44608043836291
6,-1.0,"[12, 8, 0]",1,-0.36832080657283467,0.17065487926205,-0.01993473122517268,65.89979276289944,30.533494108003435,3.566713129097146
6,-1.0,"[20, 8, 0]",0,0.9883463382720947,0.08289021253585815,-0.27807164192199707,73.24837598980636,6.143163806643229,20.608460203550415
7,1.0,"[17, 10, 1]",1,-0.5503469109535217,-0.0010136812925338745,0.30629763007164,64.16855766464757,0.11819175356292269,35.71325058178951
7,1.0,"[13, 10, 0]",1,-0.406768328199784,0.05826722954710325,-0.01993473122517268,83.87489655540912,12.014597774763917,4.110505669826953
7,1.0,"[20, 10, 0]",0,0.9128134697675705,-0.17965246737003326,-0.27807164192199707,66.60258600088153,13.108175223717867,20.28923877540059
8,-1.0,"[17, 5, 0]",0,0.30483873188495636,0.12039162218570709,-0.27807164192199707,43.343931002882805,17.118054956716414,39.53801404040078
9,1.0,"[17, 2, 0]",0,0.080616544932127,0.14791734144091606,-0.27807164192199707,15.91308038098965,29.197735354117775,54.88918426489258
10,-1.0,"[15, 10, 0]",1,-0.5399711939195792,0.03145197903116544,-0.01993473122517268,91.31038751770001,5.318602965998253,3.3710095163017373
11,-1.0,"[15, 1, 0]",0,-0.2837335169315338,-0.047012537717819214,-0.27807164192199707,46.60401931964568,7.721940078709523,45.6740406016448
12,1.0,"[17, 2, 0]",0,0.080616544932127,0.14791734144091606,-0.27807164192199707,15.91308038098965,29.197735354117775,54.88918426489258
13,-1.0,"[17, 3, 0]",0,0.15269936248660088,0.15967769548296928,-0.27807164192199707,25.861579933132766,27.043449416061588,47.09497065080564
14,1.0,"[20, 8, 0]",0,0.9883463382720947,0.08289021253585815,-0.27807164192199707,73.24837598980636,6.143163806643229,20.608460203550415
15,1.0,"[20, 6, 0]",0,0.8445577919483185,0.1458854377269745,-0.27807164192199707,66.57846989880909,11.500490927889421,21.921039173301494
16,-1.0,"[20, 4, 0]",0,0.6682415306568146,0.18239912390708923,-0.27807164192199707,59.203885058867336,16.159930610746883,24.636184330385785
17,-1.0,"[20, 5, 0]",0,0.7539653182029724,0.16436517238616943,-0.27807164192199707,63.01938936037066,13.738288149084282,23.242322490545053
18,-1.0,"[7, 4, 0]",1,-0.1268728288511435,0.3418661889930566,-0.01993473122517268,25.962685553042153,69.95796063203812,4.07935381491972
18,-1.0,"[14, 4, 0]",1,-0.5678305315474669,0.30674661820133525,-0.01993473122517268,63.479372786999065,34.29206752037091,2.2285596926300264
19,1.0,"[14, 10, 0]",1,-0.48290658618013066,0.03773342942198118,-0.01993473122517268,89.33206536457409,6.980242721925954,3.687691913499965
19,1.0,"[17, 10, 0]",0,0.25384850800037384,-0.4334643930196762,-0.27807164192199707,26.295066546928602,44.900697467009,28.804235986062395
20,-1.0,"[14, 10, 1]",1,-0.40283020337422687,-0.020025511582692463,0.2883014331261317,56.64433022434912,2.815905266040274,40.53976450961061
20,-1.0,"[15, 10, 1]",1,-0.45506277680397034,-0.01791192591190338,0.2931334674358368,59.399285183690886,2.338041364100885,38.262673452208226
20,-1.0,"[14, 10, 0]",1,-0.48290658618013066,0.03773342942198118,-0.01993473122517268,89.33206536457409,6.980242721925954,3.687691913499965
21,-1.0,"[13, 1, 1]",1,-0.6160360736151537,0.20720327148834863,0.32212664807836217,53.78508505423538,18.090573032706438,28.124341913058178
21,-1.0,"[16, 1, 1]",1,-0.7930901187161604,0.19301464160283408,0.3449798760314782,59.582245715841985,14.500553633616848,25.917200650541165
21,-1.0,"[12, 1, 0]",1,-0.6981812889377276,0.23404849072297415,-0.01993473122517268,73.32569959871262,24.580677818502206,2.093622582785176
21,-1.0,"[14, 1, 0]",1,-0.8162731851140658,0.22801189621289572,-0.01993473122517268,76.70155878385115,21.42526323261115,1.8731779835376925
21,-1.0,"[15, 1, 0]",0,-0.2837335169315338,-0.047012537717819214,-0.27807164192199707,46.60401931964568,7.721940078709523,45.6740406016448
22,0.0,"[12, 7, 0]",1,-0.35013625274101895,0.24755373348792395,-0.01993473122517268,56.69077723836906,40.081578099457325,3.2276446621736232
